r,camb_theta,grhe_theta
1.0,3.2963949345471316e-06,3.2358839055140196e-06
2.0,3.3086313930575565e-06,3.2478957426696345e-06
3.0,3.3178536475535675e-06,3.256948706737575e-06
4.0,3.3238839296513426e-06,3.262868292580095e-06
5.0,3.3265597100380163e-06,3.2654949543909066e-06
6.0,3.325736376735405e-06,3.2646867347947437e-06
7.0,3.32128967887825e-06,3.260321663765829e-06
8.0,3.3131178921655693e-06,3.2522998843286244e-06
9.0,3.301143667430494e-06,3.240545467193967e-06
10.0,3.285315529821757e-06,3.225007882420494e-06
11.0,3.2656090027644006e-06,3.205663102743105e-06
12.0,3.2420273380204803e-06,3.1825143202321394e-06
13.0,3.214601840645158e-06,3.155592265284341e-06
14.0,3.1833917852662102e-06,3.1249551244391976e-06
15.0,3.1484839277405383e-06,3.0906880609998413e-06
16.0,3.1099916236966017e-06,3.0529023497561615e-06
17.0,3.068053572599679e-06,3.0117341441049174e-06
18.0,3.022832212629991e-06,2.9673429003926486e-06
19.0,2.974511797707507e-06,2.9199094902400188e-06
20.0,2.9232961933131698e-06,2.869634036824551e-06
21.0,2.869406432244372e-06,2.8167335155044392e-06
22.0,2.8130780750234764e-06,2.7614391626813354e-06
23.0,2.754558422294634e-06,2.703993739368444e-06
24.0,2.6941036281618873e-06,2.6446486975182952e-06
25.0,2.631975764029479e-06,2.583661297761342e-06
26.0,2.5684398821154594e-06,2.5212917268238536e-06
27.0,2.503761126456237e-06,2.457800261564972e-06
28.0,2.438201936957607e-06,2.3934445243522204e-06
29.0,2.3720193889509448e-06,2.3284768714547414e-06
30.0,2.3054627068721426e-06,2.2631419523629554e-06
31.0,2.2387709862001107e-06,2.197674473544823e-06
32.0,2.172171152786888e-06,2.1322971952359757e-06
33.0,2.1058761833063224e-06,2.0672191845551416e-06
34.0,2.0400836048713644e-06,2.002634342663556e-06
35.0,1.9749742860514478e-06,1.9387202179753094e-06
36.0,1.9107115256897465e-06,1.8756371117009392e-06
37.0,1.8474404401994568e-06,1.8135274763909462e-06
38.0,1.7852876445253442e-06,1.7525156027538473e-06
39.0,1.7243612167988117e-06,1.6927075849600586e-06
40.0,1.6647509319865447e-06,1.6341915500015164e-06
41.0,1.6065287456160566e-06,1.5770381325376035e-06
42.0,1.5497495050223008e-06,1.5213011730856002e-06
43.0,1.4944518625485757e-06,1.4670186144582074e-06
44.0,1.4406593627859917e-06,1.414213569044853e-06
45.0,1.3883816742664236e-06,1.362895527894791e-06
46.0,1.33761593503532e-06,1.3130616815895946e-06
47.0,1.288348181209003e-06,1.2646983225768167e-06
48.0,1.2405548279377042e-06,1.217782298947388e-06
49.0,1.1942041731092966e-06,1.1722824905362684e-06
50.0,1.1492578955868602e-06,1.1281612796572693e-06
51.0,1.1056725217139075e-06,1.0853759906880412e-06
52.0,1.0634008361747758e-06,1.0438802750316835e-06
53.0,1.0223932159895539e-06,1.0036254206238873e-06
54.0,9.82598869374744e-07,9.645615680521685e-07
55.0,9.439669643332627e-07,9.26638818428647e-07
56.0,9.06447635071573e-07,8.898082213326525e-07
57.0,8.699928576015476e-07,8.540226343394009e-07
58.0,8.345571890980197e-07,8.192374488053595e-07
59.0,8.000983686835306e-07,7.854111796245515e-07
60.0,7.665777802399836e-07,7.525059195445014e-07
61.0,7.339607805511371e-07,7.204876612851057e-07
62.0,7.022168985169533e-07,6.893264930960571e-07
63.0,6.713199133167507e-07,6.589966754851779e-07
64.0,6.412478212079931e-07,6.294766086266744e-07
65.0,6.119827021157588e-07,6.007487013995865e-07
66.0,5.835104982877451e-07,5.727991541059637e-07
67.0,5.558207180627916e-07,5.456176676772276e-07
68.0,5.289060782368909e-07,5.191970926051742e-07
69.0,5.027620986260507e-07,4.935330309473355e-07
70.0,4.773866622427936e-07,4.686234045772e-07
71.0,4.527795540502805e-07,4.4446800240530136e-07
72.0,4.289419905667516e-07,4.210680186185841e-07
73.0,4.0587615169799553e-07,3.9842559310689657e-07
74.0,3.8358472511341997e-07,3.765433642028271e-07
75.0,3.620704722895956e-07,3.554240426912689e-07
76.0,3.4133582406120285e-07,3.350700147847284e-07
77.0,3.213825121795719e-07,3.154829804452458e-07
78.0,3.0221124201805833e-07,2.966636320978289e-07
79.0,2.838214102134785e-07,2.786113774550687e-07
80.0,2.662108697228523e-07,2.6132410888667153e-07
81.0,2.4937574353037496e-07,2.4479802054616175e-07
82.0,2.333102870827054e-07,2.290274733314081e-07
83.0,2.1800679847914013e-07,2.1400490672341235e-07
84.0,2.0345557451085082e-07,1.9972079563252266e-07
85.0,1.8964490983980335e-07,1.86163649592425e-07
86.0,1.7656113593915707e-07,1.7332005098572405e-07
87.0,1.6418869588497925e-07,1.6117472846272627e-07
88.0,1.52510250692835e-07,1.497106613260381e-07
89.0,1.4150681262793517e-07,1.3890921039357533e-07
90.0,1.3115790077716665e-07,1.287502707147999e-07
91.0,1.214417141463405e-07,1.1921244149046874e-07
92.0,1.1233531762548143e-07,1.1027320862420873e-07
93.0,1.0381483633667109e-07,1.0190913550276931e-07
94.0,9.58556541296806e-08,9.409605784792442e-08
95.0,8.84326123067093e-08,8.680927879327506e-08
96.0,8.152020502519033e-08,8.002376070009849e-08
97.0,7.5092768233259e-08,7.371431062457938e-08
98.0,6.91246594230821e-08,6.785575677145589e-08
99.0,6.359042593057146e-08,6.242311370430104e-08
100.0,5.846495995482922e-08,5.7391734519317974e-08
